dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,0,8.715491374954581,0.13704838831099364,0.9065684133915575,1.8820193895305837,0.30454917107637225
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,1,2.742051291046664,0.10257138341667164,0.863264192139738,1.774947313625962,0.2851668810984513
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,2,2.552871874999255,0.13700638248184657,0.9065684133915575,1.8818840670485206,0.3045565898355991
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,3,2.55783983389847,0.10257138341667164,0.863264192139738,1.774947313625962,0.2851668810984513
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,4,3.0133374170400202,0.10257138341667164,0.863264192139738,1.774947313625962,0.2851668810984513
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,5,3.664615625049919,0.13704838831099364,0.9065684133915575,1.8820193895305837,0.30454917107637225
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,6,2.5620965829584748,0.10257138341667164,0.863264192139738,1.774947313625962,0.2851668810984513
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,7,2.378826375119388,0.1369590493172918,0.9064774381368268,1.881946289044598,0.3045210218939766
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,8,2.1702724581118673,0.102492288381958,0.8631732168850073,1.7752087129215193,0.28513358495055413
pen-based,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,9,2.1839077500626445,0.13700638248184657,0.9065684133915575,1.8818840670485206,0.3045565898355991
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,0,7.831076834117994,0.1393421402907495,0.9092976710334789,1.884304975018624,0.30527841763601643
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,1,2.25509462505579,0.10207673237308147,0.8614446870451238,1.7755259742961789,0.28454070975165463
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,2,2.1978984579909593,0.13928153567909052,0.9092066957787481,1.8842451271484753,0.3052523493268813
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,3,2.0011187919881195,0.10207673237308147,0.8614446870451238,1.7755259742961789,0.28454070975165463
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,4,2.445350541966036,0.10207673237308147,0.8614446870451238,1.7755259742961789,0.28454070975165463
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,5,3.6109896251000464,0.1393421402907495,0.9092976710334789,1.884304975018624,0.30527841763601643
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,6,1.992945458041504,0.10207673237308147,0.8614446870451238,1.7755259742961789,0.28454070975165463
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,7,2.0902475418988615,0.1392109585623385,0.9091157205240175,1.8841921912502213,0.3052262582787963
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,8,2.3476014581974596,0.10210460384816405,0.8614446870451238,1.775926730559992,0.28453922621705274
pen-based,FCM_Suppressed_0.7,2,euclidean,2.0,0.7,9,1.8884795422200114,0.1392109585623385,0.9091157205240175,1.8841921912502213,0.3052262582787963
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,0,7.754538124892861,0.13923994344981738,0.9092976710334789,1.8837289645397586,0.30532681611083967
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,1,1.9080061248969287,0.10156415904797533,0.861353711790393,1.76691456878011,0.2845554009289709
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,2,1.825408459175378,0.13923994344981738,0.9092976710334789,1.8837289645397586,0.30532681611083967
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,3,1.6506523750722408,0.10156415904797533,0.861353711790393,1.76691456878011,0.2845554009289709
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,4,2.101908667013049,0.10156415904797533,0.861353711790393,1.76691456878011,0.2845554009289709
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,5,3.3809206248261034,0.13923994344981738,0.9092976710334789,1.8837289645397586,0.30532681611083967
pen-based,FCM_Suppressed_0.7,2,euclidean,2.5,0.7,6,1.5422316251788288,0.10156415904797533,0.861353711790393,1.76691456878011,0.2845554009289709
